[09-16 10:52:38]Log stream open success.
[09-17 10:27:33](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 10:27:33](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 10:28:14](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 10:29:46](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 10:29:51](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 10:29:51](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 10:30:08](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 10:42:26](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 10:42:36](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 10:42:36](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 10:43:45](127.0.0.1):[X3]logout,	 online/total:0/0
