[08-07 09:18:05]日志流被成功打开.
[08-07 13:53:20](127.0.0.1)：[test0002]select char[09078]begin paly...，	 online/total：1/0
[08-07 13:53:23](127.0.0.1):[test0002] char [09078]entry map server begin play...，	 online/total:1/1
[08-07 13:54:15](127.0.0.1)：[test0002]exit char[09078]begin entry select char UI...，	 online/total:1/0
[08-07 13:54:53](127.0.0.1)：[test0002090781/0
[08-07 13:54:54](127.0.0.1)：[test0002]select char[55555555555]begin paly...，	 online/total：1/0
[08-07 13:55:08](127.0.0.1):[test0002] char [55555555555]entry map server begin play...，	 online/total:1/1
[08-07 13:56:29](127.0.0.1)：[test0002]exit char[55555555555]begin entry select char UI...，	 online/total:1/0
[08-07 13:59:04](127.0.0.1)：[test0002]select char[55555555555]begin paly...，	 online/total：1/0
[08-07 13:59:07](127.0.0.1)：[test0002]select char[55555555555]begin paly...，	 online/total：1/0
[08-07 14:01:31](127.0.0.1)：[test0002]select char[55555555555]begin paly...，	 online/total：1/0
[08-07 14:01:56](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-07 14:02:16](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-07 14:02:21](127.0.0.1)：[test0002]select char[55555555555]begin paly...，	 online/total：1/0
[08-07 14:02:26](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-07 14:05:03](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-07 14:05:20](127.0.0.1)：[test0002]create char [14341256]，	 online/total:1/0
[08-07 14:05:23](127.0.0.1)：[test0002]select char[14341256]begin paly...，	 online/total：1/0
[08-07 14:05:26](127.0.0.1):[test0002] char [14341256]entry map server begin play...，	 online/total:1/1
[08-07 14:05:47](127.0.0.1)：[test0002]exit char[14341256]begin entry select char UI...，	 online/total:1/0
[08-07 14:05:54](127.0.0.1)：[test0002]select char[14341256]begin paly...，	 online/total：1/0
[08-07 14:05:56](127.0.0.1):[test0002] char [14341256]entry map server begin play...，	 online/total:1/1
[08-07 14:06:21](127.0.0.1)：[test0002]exit char[14341256]begin entry select char UI...，	 online/total:1/0
[08-07 14:06:27](127.0.0.1)：[test0002]select char[14341256]begin paly...，	 online/total：1/0
[08-07 14:06:28](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-07 14:09:10](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-07 14:09:22](127.0.0.1)：[test0002143412561/0
[08-07 14:09:32](127.0.0.1)：[test0002555555555551/0
