[10-13 21:39:52]Log stream open success.
[10-15 23:33:29](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[10-15 23:34:00](127.0.0.1):[yyy]exit char[5765]begin entry select char UI...£¬	 online/total:1/0
[10-15 23:34:19](127.0.0.1):[yyy]create char [675]£¬	 online/total:1/0
[10-15 23:34:53](127.0.0.1):[yyy]logout,	 online/total:0/0
[10-15 23:37:46](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[10-15 23:38:04](127.0.0.1):[yyy6751/0
[10-15 23:38:54](127.0.0.1):[yyy]logout,	 online/total:0/0
[10-15 23:40:52](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[10-15 23:40:57](127.0.0.1):[yyy]select char[ly]begin paly...£¬	 online/total:1/0
[10-15 23:40:57](127.0.0.1):[yyy] char [ly]entry map server begin play...£¬	 online/total:1/1
[10-15 23:41:07](127.0.0.1):[yyy]exit char[ly]begin entry select char UI...£¬	 online/total:1/0
[10-15 23:41:15](127.0.0.1):[yyy]logout,	 online/total:0/0
[10-15 23:42:04](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[10-15 23:42:17](127.0.0.1):[yyy]logout,	 online/total:0/0
[10-15 23:43:26](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[10-15 23:43:59](127.0.0.1):[yyy]logout,	 online/total:0/0
[10-15 23:45:47](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[10-15 23:45:53](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[10-15 23:45:53](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[10-15 23:49:50](127.0.0.1):[yyy]logout,	 online/total:0/0
